UD_Afrikaans-AfriBooms	af_afribooms
UD_Ancient_Greek-Perseus	grc_perseus
UD_Ancient_Greek-PROIEL	grc_proiel
UD_Arabic-PADT	ar_padt
UD_Armenian-ArmTDP	hy_armtdp
UD_Basque-BDT	eu_bdt
UD_Bulgarian-BTB	bg_btb
UD_Buryat-BDT	bxr_bdt
UD_Catalan-AnCora	ca_ancora
UD_Chinese-GSD	zh_gsd
UD_Croatian-SET	hr_set
UD_Czech-CAC	cs_cac
UD_Czech-FicTree	cs_fictree
UD_Czech-PDT	cs_pdt
UD_Danish-DDT	da_ddt
UD_Dutch-Alpino	nl_alpino
UD_Dutch-LassySmall	nl_lassysmall
UD_English-EWT	en_ewt
UD_English-SEWTA	en_sewta
UD_English-SEWTE	en_sewte
UD_English-SEWTN	en_sewtn
UD_English-SEWTR	en_sewtr
UD_English-SEWTW	en_sewtw
UD_English-GUM	en_gum
UD_English-LinES	en_lines
UD_Estonian-EDT	et_edt
UD_Finnish-FTB	fi_ftb
UD_Finnish-TDT	fi_tdt
UD_French-GSD	fr_gsd
UD_French-Sequoia	fr_sequoia
UD_French-Spoken	fr_spoken
UD_Galician-CTG	gl_ctg
UD_Galician-TreeGal	gl_treegal
UD_German-GSD	de_gsd
UD_Gothic-PROIEL	got_proiel
UD_Greek-GDT	el_gdt
UD_Hebrew-HTB	he_htb
UD_Hindi-HDTB	hi_hdtb
UD_Hungarian-Szeged	hu_szeged
UD_Indonesian-GSD	id_gsd
UD_Irish-IDT	ga_idt
UD_Italian-ISDT	it_isdt
UD_Italian-PoSTWITA	it_postwita
UD_Japanese-GSD	ja_gsd
UD_Kazakh-KTB	kk_ktb
UD_Korean-GSD	ko_gsd
UD_Korean-Kaist	ko_kaist
UD_Kurmanji-MG	kmr_mg
UD_Latin-ITTB	la_ittb
UD_Latin-Perseus	la_perseus
UD_Latin-PROIEL	la_proiel
UD_Latvian-LVTB	lv_lvtb
UD_North_Sami-Giella	sme_giella
UD_Norwegian-Bokmaal	no_bokmaal
UD_Norwegian-NynorskLIA	no_nynorsklia
UD_Norwegian-Nynorsk	no_nynorsk
UD_Old_Church_Slavonic-PROIEL	cu_proiel
UD_Old_French-SRCMF	fro_srcmf
UD_Persian-Seraji	fa_seraji
UD_Polish-LFG	pl_lfg
UD_Polish-SZ	pl_sz
UD_Portuguese-Bosque	pt_bosque
UD_Romanian-RRT	ro_rrt
UD_Russian-SynTagRus	ru_syntagrus
UD_Russian-Taiga	ru_taiga
UD_Serbian-SET	sr_set
UD_Slovak-SNK	sk_snk
UD_Slovenian-SSJ	sl_ssj
UD_Slovenian-SST	sl_sst
UD_Spanish-AnCora	es_ancora
UD_Swedish-LinES	sv_lines
UD_Swedish-Talbanken	sv_talbanken
UD_Turkish-IMST	tr_imst
UD_Ukrainian-IU	uk_iu
UD_Upper_Sorbian-UFAL	hsb_ufal
UD_Urdu-UDTB	ur_udtb
UD_Uyghur-UDT	ug_udt
UD_Vietnamese-VTB	vi_vtb
